,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,7.6444397,1.5621338,598.11707,142.98285,412.7119,380.6384,207.75705,454.1371,404.66852,647.20685,409.48288,986.45776,10.979401,-3.524475,-5.7070923,6.218811,0.26174927,5.410034,3.3534546,4.8522034,-1.1251831,4.6555786
1,507.48758,89.73758,462.70874,278.94507,603.5206,487.68835,764.6356,503.08722,616.46014,672.3208,612.828,951.37476,0.6730652,-3.298584,-2.3770752,-3.262329,-2.0286255,-2.229248,-1.7486572,-4.642273,-0.27282715,-3.4110107
2,8.495087,2.545868,0.5104065,3.0898743,-0.5527954,-0.7998047,-0.9850464,-0.70513916,2.4565735,-0.39508057,394.47305,168.85751,728.0665,305.4751,512.5705,589.0552,748.3336,667.09827,895.59106,742.1655,369.5258,825.85315
3,0.034179688,-4.203369,487.10956,53.64682,603.7999,185.2951,717.3153,212.23886,609.2334,314.73193,607.811,526.55115,375.86414,610.85913,523.8044,854.4939,354.2628,860.61725,589.5002,1012.36487,-1.0144653,6.251831
4,518.9237,91.200165,576.04205,280.55594,438.13818,484.62607,275.0974,483.8463,434.81616,657.16296,437.83057,902.73376,9.6822815,-0.27941895,-4.081604,-7.915039,-0.7819214,-5.8151245,1.7067566,-3.4145508,-1.2025757,-6.0268555
5,-7.754944,0.33370972,4.1417236,1.3885803,-1.0598755,0.044830322,-4.1463013,-3.723877,0.75320435,2.7367554,608.869,248.86697,263.67856,408.04056,492.20435,740.1864,246.96399,819.35834,-14.450317,-7.0336914,657.72107,993.735
6,510.75616,87.969574,465.84634,284.10983,614.84125,499.70926,782.52466,514.6028,626.519,688.9126,622.3735,979.30237,-1.6427002,-9.201538,-5.4058228,-4.8374634,-7.7960205,-5.404846,-3.7919922,-7.2857056,-1.0583496,-7.3704224
7,14.235565,2.5049438,8.089081,6.1396484,3.6467896,5.8144836,1.7661133,3.1307678,10.971863,9.607117,585.6344,187.63889,261.6074,327.02533,456.87265,608.09454,265.136,695.88074,139.38574,715.54395,616.24176,843.3535
8,476.8056,86.47479,547.97974,274.06573,390.73785,515.5091,223.01572,523.85864,390.7894,694.4154,45.84268,49.175415,413.87195,990.282,4.061676,2.1838684,1.5156555,6.631378,12.336853,12.388794,3.916687,4.3174133
9,-1.9266968,-0.7651367,-0.41656494,2.6476746,-5.0006714,2.38385,-5.8657227,2.5185852,-10.838074,-8.359985,433.03253,108.67648,952.7295,349.92926,633.21,827.863,998.1671,890.16565,15.844086,-0.8590698,-15.837952,-0.2064209
10,-0.510376,-1.7445679,495.05374,83.28549,600.38007,222.42087,722.40063,265.11856,599.7316,364.88443,605.23486,577.70807,364.70154,693.05176,522.2972,928.7267,360.42596,961.5421,-6.9852295,-8.648682,-0.29260254,-7.73053
11,-11.169495,-5.1882935,-2.4074097,-2.3867798,-5.4796753,-6.1852417,-6.8774414,-3.106018,9.721527,6.8006287,404.80243,232.9097,745.8092,407.8873,525.62427,718.6559,759.6587,812.61316,908.7,923.6394,383.21063,996.0202
12,4.201111,2.8130493,21.650421,8.361145,4.772705,4.0390625,216.39224,25.788025,393.20508,164.74374,392.69156,423.83676,685.9727,532.2351,486.06573,834.3962,688.78394,910.19684,8.590149,4.679535,-4.242859,-4.7800293
