,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,35.776764,9.093994,503.37225,70.0387,461.14044,183.21844,397.8689,187.41873,450.20255,304.3821,433.3354,489.05533,671.47455,530.6738,541.36725,733.3078,712.9605,796.2972,288.14026,215.40964,443.753,927.1073
1,20.943237,6.30188,503.74677,71.30646,467.87668,191.35245,404.36945,192.52011,445.72217,307.99817,384.6983,455.81042,671.4004,533.138,536.89136,732.109,713.6319,803.13684,308.9232,209.80215,434.10315,930.2339
2,9.719299,1.2094421,463.61707,72.01654,555.82635,186.59708,655.5748,218.77893,571.39404,314.76245,576.4378,495.75793,373.8306,584.37274,510.36414,779.7595,365.85608,821.0035,-0.45776367,-2.6096191,590.7194,916.02856
3,8.853058,3.1148682,19.38263,19.761505,12.829041,31.409882,-1.2091675,37.135223,42.345245,26.283112,237.6041,79.11374,151.49496,130.642,394.66254,372.8473,247.48352,527.6969,17.306213,-21.111572,556.463,625.245
4,516.34656,69.528564,471.90558,232.43503,587.53894,408.59247,729.0807,433.7019,598.1933,566.8423,604.09155,804.5504,335.1812,939.27625,-1.9781494,-1.7670898,-5.859009,-5.0860596,2.8157043,0.39968872,0.4210205,-2.0230103
5,8.811584,1.0978088,463.18475,70.9216,554.45013,184.7269,654.2191,216.84244,571.6423,312.70697,576.99274,493.51004,377.19394,584.2505,512.5907,779.6918,369.22946,821.73663,-2.204712,-3.8238525,594.97156,925.2175
6,42.476166,4.509918,135.9769,32.399384,127.79361,67.69437,111.88464,63.552185,132.93475,95.60162,444.58832,244.42215,619.74866,306.55554,559.51544,560.7019,709.7195,625.8169,16.531067,-31.773987,420.53018,745.0137
7,548.3448,58.538696,590.6983,226.74591,473.2857,406.31464,333.68304,421.93652,472.59967,563.412,478.59583,793.8349,744.75586,953.9824,-3.8897705,-4.538513,-2.4956055,-4.385498,-3.6350708,-6.8099976,-3.2147827,-7.37677
8,-26.192505,-2.4169922,159.8255,34.321106,278.95392,83.51666,411.70547,81.55008,270.21515,111.69528,583.9335,284.1687,193.96078,367.98376,517.1836,626.99115,325.27585,742.14294,-11.369507,27.852966,660.68835,913.99615
9,7.895752,1.9043579,298.6671,47.05249,304.81165,114.45578,310.17926,130.837,368.29532,190.42856,559.0286,364.48526,362.63672,482.76456,507.5945,711.71533,347.4947,767.09814,-4.237671,-7.701111,617.50366,909.6229
10,42.035675,14.557251,435.31616,65.73187,473.73868,177.49518,487.8734,174.35992,383.96295,253.1134,282.1455,369.932,474.69104,391.03284,530.53186,596.2196,652.8853,734.3629,226.85245,170.9151,503.7123,903.79474
11,67.02591,18.536865,481.93967,91.244446,516.8469,228.28143,529.13513,228.97061,428.05133,283.48514,301.35303,356.29642,513.30975,485.2567,498.6584,629.6667,606.77136,732.4183,234.63873,175.80054,459.87265,871.5006
12,546.45703,59.575134,498.36588,226.33948,614.5942,405.87427,748.9823,427.52603,617.6065,567.79065,621.23865,805.47345,352.85577,944.2135,-7.1707764,-10.017395,-11.14093,-8.927246,-1.7640381,-4.552307,-1.8381348,-9.931519
